"find_number","material_category","material","start_date","end_date","level_1_of_the_functional_classification","level_2_of_the_functional_classification","ceramics_rim_eve_estimated_vessel_equivalent","ceramics_base_eve_estimated_vessel_equivalent","ceramics_reconstructed_object_diameter_in_mm","ceramics_reconstructed_object_height_in_mm","ceramics_surface_treatment","ceramics_decoration_technique","ceramics_image_type","ceramics_mark","material_simplified"
"NZD1.00029CER050","CER","faience: Holland",1725,1775,"Food Processing & Consumption","Food consumption: plate, dish, bowl",15.0,15.0,220.0,35.0,"tin-glaze","blue-white","floral motif",NULL,"faience"
"NZD1.00052CER039","CER","faience: Holland",1725,1800,"Food Processing & Consumption","Food consumption: plate, dish, bowl",25.0,30.0,220.0,30.0,"tin-glaze","blue-white",NULL,NULL,"faience"
"NZD1.00053CER051","CER","faience: Holland",1675,1750,"Food Processing & Consumption","Food consumption: plate, dish, bowl",15.0,15.0,100.0,18.0,"tin-glaze","blue-white","floral motif",NULL,"faience"
"NZR2.00274CER048","CER","faience: Holland",1700,1730,"Food Processing & Consumption","Food consumption: plate, dish, bowl",40.0,40.0,220.0,30.0,"tin-glaze","overall white",NULL,NULL,"faience"
"NZR2.00274CER055","CER","faience: Holland",1650,1700,"Food Processing & Consumption","Food consumption: plate, dish, bowl",65.0,80.0,230.0,30.0,"tin-glaze","overall white",NULL,NULL,"faience"
"NZR2.00275CER061","CER","faience: Holland",1675,1750,"Food Processing & Consumption","Food consumption: plate, dish, bowl",15.0,15.0,130.0,20.0,"tin-glaze","overall white",NULL,NULL,"faience"
"NZD1.00044CER017","CER","stoneware: Siegburg",1400,1475,"Food Processing & Consumption","Consumption: drinking",10.0,5.0,75.0,138.0,NULL,NULL,NULL,NULL,"stoneware"
"NZD1.00068CER093","CER","faience: Holland",1725,1775,"Food Processing & Consumption","Food consumption: plate, dish, bowl",20.0,10.0,320.0,50.0,"tin-glaze","blue-white","floral motif",NULL,"faience"
"NZD1.00072CER073","CER","faience: Holland",1650,1700,"Food Processing & Consumption","Food consumption: plate, dish, bowl",10.0,20.0,240.0,28.0,"tin-glaze","overall white",NULL,NULL,"faience"
"NZD1.00081CER058","CER","faience: Holland",1650,1700,"Food Processing & Consumption","Food consumption: plate, dish, bowl",15.0,15.0,280.0,25.0,"tin-glaze","overall white",NULL,NULL,"faience"
"NZD1.00087CER126","CER","faience: Holland",1625,1675,"Food Processing & Consumption","Food consumption: plate, dish, bowl",25.0,35.0,210.0,15.0,"tin-glaze","blue-white",NULL,NULL,"faience"
"NZD1.00088CER085","CER","faience: Holland",1625,1675,"Food Processing & Consumption","Food consumption: plate, dish, bowl",20.0,20.0,240.0,30.0,"tin-glaze","blue-white","chinese decor",NULL,"faience"
"NZD1.00088CER091","CER","faience: Holland",1650,1700,"Food Processing & Consumption","Food consumption: plate, dish, bowl",20.0,65.0,140.0,35.0,"tin-glaze","blue-white","still lifes/objects",NULL,"faience"
"NZD1.00088CER101","CER","faience: Holland",1650,1725,"Food Processing & Consumption","Food consumption: plate, dish, bowl",15.0,20.0,220.0,25.0,"tin-glaze","overall white",NULL,NULL,"faience"
"NZD1.00095CER088","CER","faience: Holland",1725,1800,"Food Processing & Consumption","Food consumption: plate, dish, bowl",15.0,10.0,220.0,40.0,"tin-glaze","blue-white","floral motif",NULL,"faience"
"NZD1.00099CER067","CER","faience: Holland",1725,1775,"Food Processing & Consumption","Food consumption: plate, dish, bowl",35.0,60.0,110.0,25.0,"tin-glaze","blue-white","floral motif",NULL,"faience"
"NZD1.00106CER007","CER","faience: Holland",1650,1725,"Food Processing & Consumption","Food consumption: plate, dish, bowl",5.0,5.0,220.0,28.0,"tin-glaze","overall white",NULL,NULL,"faience"
"NZD1.00168CER007","CER","faience: Holland",1650,1725,"Food Processing & Consumption","Food consumption: plate, dish, bowl",10.0,10.0,280.0,27.0,"tin-glaze","overall white",NULL,NULL,"faience"
"NZR2.00525CER098","CER","faience: Holland",1750,1800,"Food Processing & Consumption","Food consumption: plate, dish, bowl",25.0,100.0,130.0,40.0,"tin-glaze","blue-white","text/inscriptions",NULL,"faience"
"NZR2.00535CER077","CER","faience: Holland",1750,1825,"Food Processing & Consumption","Food consumption: plate, dish, bowl",35.0,35.0,160.0,23.0,"tin-glaze","overall white",NULL,NULL,"faience"
"NZR2.00612CER024","CER","faience: Holland",1650,1725,"Food Processing & Consumption","Food consumption: plate, dish, bowl",25.0,100.0,150.0,30.0,"tin-glaze","overall white",NULL,NULL,"faience"
"NZD1.00075CER005","CER","faience: Italian",1575,1600,"Food Processing & Consumption","Food consumption: plate, dish, bowl",20.0,40.0,220.0,25.0,"tin-glaze","blue background monochrome","floral motif",NULL,"faience"
"NZD1.00087CER045","CER","greyware: hand-built",1200,1350,"Food Processing & Consumption","Food preparation: cooking - and hearth utensils",15.0,20.0,180.0,35.0,NULL,NULL,NULL,NULL,"greyware"
"NZD1.00283CER002","CER","faience: Holland",1650,1700,"Food Processing & Consumption","Food consumption: plate, dish, bowl",20.0,25.0,220.0,28.0,"tin-glaze","blue-white",NULL,NULL,"faience"
"NZD1.00354CER014","CER","faience: Holland",1650,1725,"Food Processing & Consumption","Food consumption: plate, dish, bowl",15.0,10.0,280.0,32.0,"tin-glaze","overall white",NULL,NULL,"faience"
"NZD1.00360CER004","CER","faience: Holland",1625,1675,"Food Processing & Consumption","Food consumption: plate, dish, bowl",25.0,35.0,220.0,25.0,"tin-glaze","blue-white",NULL,NULL,"faience"
"NZD1.00364CER007","CER","faience: Holland",1650,1700,"Food Processing & Consumption","Food consumption: plate, dish, bowl",15.0,15.0,220.0,23.0,"tin-glaze","blue-white",NULL,NULL,"faience"
"NZD1.00374CER002","CER","faience: Holland",1675,1725,"Food Processing & Consumption","Food consumption: plate, dish, bowl",25.0,25.0,240.0,30.0,"tin-glaze","overall white",NULL,NULL,"faience"
"NZD1.00300CER004","CER","faience: Italian",1575,1600,"Food Processing & Consumption","Food consumption: plate, dish, bowl",20.0,30.0,210.0,25.0,"tin-glaze","blue background monochrome","floral motif",NULL,"faience"
"NZD1.00354CER003","CER","faience: Italian",1550,1600,"Food Processing & Consumption","Food consumption: plate, dish, bowl",25.0,35.0,145.0,25.0,"tin-glaze","blue background monochrome","floral motif",NULL,"faience"
"NZD1.00068CER123","CER","industrial ware: creamware",1760,1800,"Food Processing & Consumption","Food consumption: plate, dish, bowl",10.0,15.0,180.0,53.0,"lead-glaze","overall white",NULL,NULL,"industrial ware"
"NZD1.00301CER049","CER","industrial ware: creamware",1775,1800,"Food Processing & Consumption","Food consumption: plate, dish, bowl",15.0,5.0,110.0,60.0,"lead-glaze","outside blue, inside white",NULL,NULL,"industrial ware"
"NZR2.00239CER004","CER","industrial ware: creamware",1775,1850,"Food Processing & Consumption","Consumption: drinking",50.0,NULL,100.0,70.0,"lead-glaze","overall white",NULL,NULL,"industrial ware"
"NZD1.00075CER078","CER","industrial ware: pearlware",1790,1825,"Food Processing & Consumption","Consumption: drinking",20.0,40.0,130.0,25.0,"lead-glaze","enamelled, polychrome","floral motif",NULL,"industrial ware"
"NZD1.00077CER107","CER","industrial ware: pearlware",1775,1800,"Food Processing & Consumption","Consumption: drinking",15.0,80.0,125.0,30.0,"lead-glaze","transfer printing, blue","chinese decor",NULL,"industrial ware"
"NZD1.00079CER095","CER","industrial ware: pearlware",1775,1800,"Food Processing & Consumption","Consumption: drinking",20.0,35.0,100.0,25.0,"lead-glaze","blue-white","floral motif",NULL,"industrial ware"
"NZD1.00079CER297","CER","industrial ware: red",1700,1750,"Food Processing & Consumption","Consumption: drinking",15.0,60.0,120.0,150.0,"lead-glaze with manganese oxide spots",NULL,NULL,NULL,"industrial ware"
"NZD1.00386CER065","CER","faience: Holland",1650,1725,"Food Processing & Consumption","Food consumption: plate, dish, bowl",10.0,5.0,260.0,35.0,"tin-glaze","overall white",NULL,NULL,"faience"
"NZD1.00425CER008","CER","faience: Holland",1650,1700,"Food Processing & Consumption","Food consumption: plate, dish, bowl",15.0,15.0,210.0,20.0,"tin-glaze","blue-white",NULL,NULL,"faience"
"NZD1.00444CER058","CER","faience: Holland",1725,1800,"Food Processing & Consumption","Food consumption: plate, dish, bowl",10.0,35.0,220.0,40.0,"tin-glaze","blue-white","floral motif",NULL,"faience"
"NZDAM1.00011CER003","CER","faience: Holland",1650,1700,"Food Processing & Consumption","Food consumption: plate, dish, bowl",10.0,70.0,340.0,48.0,"tin-glaze","blue-white","chinese decor",NULL,"faience"
"NZDAM1.00011CER018","CER","faience: Holland",1700,1800,"Food Processing & Consumption","Food consumption: plate, dish, bowl",75.0,100.0,230.0,35.0,"tin-glaze","blue-white","floral motif",NULL,"faience"
"NZDAM1.00012CER033","CER","industrial ware: creamware",1775,1825,"Food Processing & Consumption","Food consumption: plate, dish, bowl",10.0,15.0,260.0,25.0,"lead-glaze","overall white",NULL,NULL,"industrial ware"
"NZR2.00223CER072","CER","industrial ware: red",1671,1708,"Food Processing & Consumption","Consumption: drinking",10.0,100.0,100.0,82.0,NULL,"appliques","floral motif","Ary de Milde","industrial ware"
"NZR2.00251CER215","CER","industrial ware: red",1740,1775,"Food Processing & Consumption","Consumption: drinking",25.0,50.0,85.0,50.0,"lead-glaze",NULL,NULL,NULL,"industrial ware"
"NZD1.00007CER010","CER","industrial ware: rewdware",1900,1950,"Food Processing & Consumption","Consumption: drinking",100.0,100.0,105.0,90.0,"lead-glaze",NULL,NULL,NULL,"industrial ware"
"NZDAM1.00012CER034","CER","industrial ware: rewdware",1800,1850,"Food Processing & Consumption","Consumption: drinking",15.0,20.0,85.0,42.0,"lead-glaze",NULL,NULL,NULL,"industrial ware"
"NZR2.00274CER016","CER","industrial ware: scratchware",1750,1775,"Food Processing & Consumption","Consumption: drinking",15.0,25.0,120.0,20.0,"salt-glaze, cobalt blue","sgraffito",NULL,NULL,"industrial ware"
"NZD1.00610CER085","CER","industrial ware: white",1883,1900,"Food Processing & Consumption","Consumption: drinking",100.0,100.0,85.0,19.0,"lead-glaze","overall white",NULL,"P. Regout 77","industrial ware"
"NZR2.00022CER061","CER","faience: Holland",1675,1750,"Food Processing & Consumption","Food consumption: plate, dish, bowl",20.0,15.0,230.0,30.0,"tin-glaze","blue-white","text/inscriptions",NULL,"faience"
"NZR2.00026CER016","CER","faience: Holland",1650,1750,"Food Processing & Consumption","Food consumption: plate, dish, bowl",25.0,30.0,240.0,28.0,"tin-glaze","blue-white","still lifes/objects",NULL,"faience"
"NZR2.00027CER015","CER","faience: Holland",1725,1800,"Food Processing & Consumption","Food consumption: plate, dish, bowl",15.0,15.0,230.0,30.0,"tin-glaze","blue-white",NULL,NULL,"faience"
"NZR2.00038CER034","CER","faience: Holland",1660,1700,"Food Processing & Consumption","Food consumption: plate, dish, bowl",20.0,60.0,110.0,20.0,"tin-glaze","blue-white","chinese decor",NULL,"faience"
"NZR1.00005CER008","CER","industrial ware: creamware",1775,1825,"Food Processing & Consumption","Food consumption: plate, dish, bowl",15.0,35.0,180.0,16.0,"lead-glaze",NULL,NULL,NULL,"industrial ware"
"NZD1.00075CER176","CER","industrial ware: stoneware",1750,1850,"Food Processing & Consumption","Food preparation and consumption: various parts of kitchenware",90.0,NULL,125.0,45.0,"iron oxide slip and salt-glaze",NULL,NULL,NULL,"industrial ware"
"NZR2.00274CER017","CER","industrial ware: stoneware",1750,1775,"Food Processing & Consumption","Consumption: drinking",50.0,100.0,120.0,23.0,"salt-glaze",NULL,NULL,NULL,"industrial ware"
"NZD1.00007CER016","CER","industrial ware: white",1960,2005,"Food Processing & Consumption","Consumption: drinking",15.0,40.0,80.0,80.0,"lead-glaze","transfer printing, polychrome","human figure",NULL,"industrial ware"
"NZD1.00007CER032","CER","industrial ware: white",1863,1900,"Food Processing & Consumption","Consumption: drinking",70.0,100.0,155.0,100.0,"lead-glaze","overall white",NULL,"Societe Ceramique 530","industrial ware"
"NZD1.00007CER033","CER","industrial ware: white",1850,1900,"Food Processing & Consumption","Consumption: drinking",90.0,NULL,92.0,36.0,"lead-glaze","overall white",NULL,NULL,"industrial ware"
"NZR2.00047CER002","CER","faience: Holland",1650,1700,"Food Processing & Consumption","Food consumption: plate, dish, bowl",40.0,40.0,220.0,26.0,"tin-glaze","overall white",NULL,NULL,"faience"
"NZR2.00071CER001","CER","faience: Holland",1675,1750,"Food Processing & Consumption","Consumption: drinking",80.0,100.0,71.0,40.0,"tin-glaze","blue-white","floral motif",NULL,"faience"
"NZR2.00079CER022","CER","faience: Italian",1610,1650,"Food Processing & Consumption","Food consumption: plate, dish, bowl",20.0,30.0,180.0,33.0,"tin-glaze","polychrome","religious/biblical images",NULL,"faience"
"NZR2.00070CER027","CER","industrial ware: red",1800,1850,"Food Processing & Consumption","Consumption: drinking",100.0,100.0,70.0,60.0,"lead-glaze with manganese oxide",NULL,NULL,NULL,"industrial ware"
"NZR2.00070CER028","CER","industrial ware: red",1800,1875,"Food Processing & Consumption","Consumption: drinking",95.0,100.0,75.0,65.0,"lead-glaze with manganese oxide",NULL,NULL,NULL,"industrial ware"
"NZD1.00021CER047","CER","industrial ware: white",1800,1850,"Food Processing & Consumption","Food consumption: plate, dish, bowl",10.0,5.0,180.0,20.0,"lead-glaze","enamelled",NULL,NULL,"industrial ware"
"NZD1.00021CER048","CER","industrial ware: white",1875,1925,"Food Processing & Consumption","Food consumption: plate, dish, bowl",10.0,25.0,200.0,22.0,"lead-glaze","overall white",NULL,NULL,"industrial ware"
"NZD1.00023CER057","CER","industrial ware: white",1900,1950,"Food Processing & Consumption","Food consumption: plate, dish, bowl",10.0,15.0,150.0,25.0,"lead-glaze","transfer printing, polychrome","floral motif",NULL,"industrial ware"
"NZD1.00027CER047","CER","industrial ware: white",1875,1925,"Food Processing & Consumption","Food consumption: plate, dish, bowl",10.0,15.0,160.0,30.0,"lead-glaze","overall white",NULL,NULL,"industrial ware"
"NZD1.00043CER040","CER","industrial ware: white",1935,1955,"Food Processing & Consumption","Consumption of tobacco and stimulants",15.0,40.0,160.0,42.0,"lead-glaze","transfer printing, polychrome","text/inscriptions","P. Regout 70","industrial ware"
"NZD1.00052CER062","CER","industrial ware: white",1850,1900,"Food Processing & Consumption","Food consumption: plate, dish, bowl",NULL,35.0,220.0,27.0,"lead-glaze","overall white",NULL,NULL,"industrial ware"
"NZR2.00046CER013","CER","industrial ware: white",1760,1800,"Food Processing & Consumption","Consumption: drinking",65.0,100.0,65.0,75.0,"lead-glaze","overall white",NULL,NULL,"industrial ware"
"NZR2.00114CER013","CER","faience: Italian",1575,1625,"Food Processing & Consumption","Food consumption: plate, dish, bowl",20.0,30.0,300.0,60.0,"tin-glaze","polychrome","marbled",NULL,"faience"
"NZR2.00115CER054","CER","faience: Italian",1575,1625,"Food Processing & Consumption","Food consumption: plate, dish, bowl",20.0,35.0,220.0,25.0,"tin-glaze","white on blue background","floral motif",NULL,"faience"
"NZD1.00068CER096","CER","industrial ware: white",1850,1880,"Food Processing & Consumption","Food consumption: plate, dish, bowl",60.0,15.0,220.0,20.0,"lead-glaze","transfer printing, red","mixture","Societe Ceramique 530","industrial ware"
"NZD1.00078CER104","CER","industrial ware: white",1825,1875,"Food Processing & Consumption","Food consumption: plate, dish, bowl",10.0,25.0,220.0,45.0,"lead-glaze","overall white",NULL,NULL,"industrial ware"
"NZD1.00090CER092","CER","industrial ware: white",1850,1880,"Food Processing & Consumption","Food consumption: plate, dish, bowl",15.0,45.0,140.0,25.0,"lead-glaze","transfer printing, polychrome","landscape",NULL,"industrial ware"
"NZD1.00098CER097","CER","industrial ware: white",1825,1875,"Food Processing & Consumption","Consumption: drinking",40.0,40.0,135.0,25.0,"lead-glaze","transfer printing, blue","landscape",NULL,"industrial ware"
"NZD1.00120CER001","CER","industrial ware: white",1850,1900,"Food Processing & Consumption","Food consumption: plate, dish, bowl",25.0,20.0,195.0,17.0,"lead-glaze","overall white",NULL,NULL,"industrial ware"
"NZD1.00540CER012","CER","industrial ware: white",1850,1900,"Food Processing & Consumption","Food preparation and consumption: various parts of kitchenware",35.0,NULL,90.0,25.0,"lead-glaze","overall white",NULL,NULL,"industrial ware"
"NZDAM1.00012CER035","CER","industrial ware: white",1825,1850,"Food Processing & Consumption","Consumption: drinking",20.0,30.0,115.0,24.0,"lead-glaze","transfer printing, blue","landscape",NULL,"industrial ware"
"NZDAM1.00012CER042","CER","industrial ware: white",1850,1900,"Food Processing & Consumption","Food consumption: plate, dish, bowl",15.0,30.0,260.0,38.0,"lead-glaze","overall white",NULL,NULL,"industrial ware"
"NZDAM1.00013CER018","CER","industrial ware: white",1850,1900,"Food Processing & Consumption","Food consumption: plate, dish, bowl",15.0,15.0,140.0,18.0,"lead-glaze","overall white",NULL,NULL,"industrial ware"
"NZR1.00001CER008","CER","industrial ware: white",1825,1875,"Food Processing & Consumption","Food consumption: plate, dish, bowl",20.0,65.0,340.0,115.0,"lead-glaze","transfer printing, blue","mixture",NULL,"industrial ware"
"NZR1.00001CER010","CER","industrial ware: white",1825,1875,"Food Processing & Consumption","Food consumption: plate, dish, bowl",15.0,20.0,210.0,15.0,"lead-glaze",NULL,NULL,NULL,"industrial ware"
"NZR1.00005CER006","CER","industrial ware: white",1850,1900,"Food Processing & Consumption","Consumption: drinking",15.0,70.0,90.0,50.0,"lead-glaze",NULL,NULL,NULL,"industrial ware"
"NZR1.00009CER003","CER","industrial ware: white",1850,1900,"Food Processing & Consumption","Food consumption: plate, dish, bowl",30.0,20.0,150.0,30.0,"lead-glaze",NULL,NULL,NULL,"industrial ware"
"NZR2.00005CER003","CER","industrial ware: white",1825,1875,"Food Processing & Consumption","Food consumption: plate, dish, bowl",10.0,30.0,180.0,55.0,"lead-glaze","overall white",NULL,NULL,"industrial ware"
"NZR2.00046CER014","CER","industrial ware: white",1760,1800,"Food Processing & Consumption","Consumption of food and drinks: table accessories",20.0,100.0,280.0,95.0,"lead-glaze","overall white",NULL,NULL,"industrial ware"
"NZR2.00046CER015","CER","industrial ware: white",1800,1850,"Food Processing & Consumption","Consumption: drinking",55.0,100.0,120.0,110.0,"lead-glaze","transfer printing, blue","chinese decor",NULL,"industrial ware"
"NZR2.00173CER010","CER","faience: Italian",1575,1625,"Food Processing & Consumption","Food consumption: plate, dish, bowl",10.0,20.0,220.0,35.0,"tin-glaze","blue background monochrome","landscape",NULL,"faience"
"NZR2.00178CER017","CER","faience: Italian",1575,1625,"Food Processing & Consumption","Food consumption: plate, dish, bowl",15.0,40.0,190.0,30.0,"tin-glaze","blue-white","floral motif",NULL,"faience"
"NZR2.00088CER045","CER","industrial ware: white",1760,1825,"Food Processing & Consumption","Consumption: drinking",15.0,25.0,130.0,30.0,"lead-glaze","overall white",NULL,NULL,"industrial ware"
"NZR2.00126CER001","CER","industrial ware: white",1850,1925,"Food Processing & Consumption","Food consumption: plate, dish, bowl",10.0,0.0,240.0,30.0,"lead-glaze","overall white",NULL,NULL,"industrial ware"
"NZR2.00219CER082","CER","industrial ware: white",1760,1800,"Food Processing & Consumption","Consumption: drinking",40.0,55.0,90.0,25.0,"lead-glaze","overall white",NULL,NULL,"industrial ware"
"NZR2.00221CER092","CER","industrial ware: white",1850,1900,"Food Processing & Consumption","Food consumption: plate, dish, bowl",30.0,40.0,145.0,25.0,"lead-glaze","overall white",NULL,NULL,"industrial ware"
"NZR2.00221CER093","CER","industrial ware: white",1850,1900,"Food Processing & Consumption","Food consumption: plate, dish, bowl",15.0,25.0,200.0,25.0,"lead-glaze","overall white",NULL,NULL,"industrial ware"
"NZR2.00221CER095","CER","industrial ware: white",1860,1890,"Food Processing & Consumption","Food consumption: plate, dish, bowl",15.0,50.0,200.0,23.0,"lead-glaze","overall white",NULL,"Faiencerie de Jemmapes","industrial ware"
"NZR2.00223CER064","CER","industrial ware: white",1760,1850,"Food Processing & Consumption","Food consumption: plate, dish, bowl",20.0,40.0,180.0,20.0,"lead-glaze","overall white",NULL,NULL,"industrial ware"
"NZR2.00236CER004","CER","industrial ware: white",1750,1780,"Food Processing & Consumption","Consumption: drinking",25.0,50.0,120.0,30.0,"lead-glaze with blue underglaze","blue-white","landscape",NULL,"industrial ware"
"NZR2.00239CER003","CER","industrial ware: white",1760,1825,"Food Processing & Consumption","Consumption of tobacco and stimulants",15.0,100.0,130.0,100.0,"lead-glaze","overall white",NULL,NULL,"industrial ware"
"NZR2.00239CER061","CER","industrial ware: white",1760,1825,"Food Processing & Consumption","Consumption: drinking",15.0,25.0,90.0,50.0,"lead-glaze","overall white",NULL,NULL,"industrial ware"
"NZR2.00239CER062","CER","industrial ware: white",1825,1875,"Food Processing & Consumption","Consumption: drinking",25.0,130.0,100.0,60.0,"lead-glaze","enamelled, polychrome","floral motif",NULL,"industrial ware"
"NZR2.00239CER063","CER","industrial ware: white",1825,1850,"Food Processing & Consumption","Consumption: drinking",25.0,40.0,100.0,55.0,"lead-glaze","enamelled","floral motif",NULL,"industrial ware"
"NZR2.00239CER067","CER","industrial ware: white",1788,1837,"Food Processing & Consumption","Food consumption: plate, dish, bowl",40.0,100.0,140.0,30.0,"lead-glaze","overall white",NULL,"scott","industrial ware"
"NZR2.00239CER069","CER","industrial ware: white",1825,1850,"Food Processing & Consumption","Food consumption: plate, dish, bowl",25.0,35.0,115.0,65.0,"lead-glaze","transfer printing, red","floral motif",NULL,"industrial ware"
"NZR2.00239CER073","CER","industrial ware: white",1825,1900,"Food Processing & Consumption","Food consumption: plate, dish, bowl",45.0,15.0,260.0,40.0,"lead-glaze","overall white",NULL,NULL,"industrial ware"
"NZR2.00239CER074","CER","industrial ware: white",1760,1800,"Food Processing & Consumption","Food consumption: plate, dish, bowl",20.0,40.0,350.0,40.0,"lead-glaze","overall white",NULL,NULL,"industrial ware"
"NZR2.00128CER004","CER","stoneware: Siegburg",1350,1375,"Food Processing & Consumption","Consumption: drinking",25.0,60.0,110.0,200.0,NULL,NULL,NULL,NULL,"stoneware"
"NZR2.00202CER131","CER","faience: French",1650,1750,"Food Processing & Consumption","Food consumption: plate, dish, bowl",10.0,20.0,250.0,30.0,"tin-glaze","polychrome",NULL,NULL,"faience"
"NZR2.00196CER046","CER","faience: Holland",1650,1675,"Food Processing & Consumption","Food consumption: plate, dish, bowl",15.0,25.0,210.0,28.0,"tin-glaze","overall white",NULL,NULL,"faience"
"NZR2.00202CER076","CER","faience: Holland",1650,1675,"Food Processing & Consumption","Food consumption: plate, dish, bowl",60.0,100.0,148.0,48.0,"tin-glaze","blue-white","floral motif",NULL,"faience"
"NZR2.00239CER092","CER","industrial ware: white",1800,1830,"Food Processing & Consumption","Food consumption: plate, dish, bowl",25.0,20.0,200.0,40.0,"lead-glaze","enamelled, polychrome","geometric patterns",NULL,"industrial ware"
"NZR2.00239CER093","CER","industrial ware: white",1760,1800,"Food Processing & Consumption","Consumption: drinking",20.0,100.0,85.0,100.0,"lead-glaze","overall white",NULL,NULL,"industrial ware"
"NZR2.00240CER002","CER","industrial ware: white",1850,1900,"Food Processing & Consumption","Consumption of food and drinks: table accessories",100.0,50.0,60.0,125.0,"lead-glaze","overall white",NULL,NULL,"industrial ware"
"NZR2.00240CER015","CER","industrial ware: white",1825,1875,"Food Processing & Consumption","Consumption: drinking",25.0,100.0,85.0,55.0,"lead-glaze","overall white",NULL,NULL,"industrial ware"
"NZR2.00240CER016","CER","industrial ware: white",1825,1850,"Food Processing & Consumption","Consumption: drinking",25.0,30.0,100.0,55.0,"lead-glaze","enamelled","floral motif",NULL,"industrial ware"
"NZR2.00240CER025","CER","industrial ware: white",1800,1850,"Food Processing & Consumption","Food consumption: plate, dish, bowl",15.0,10.0,150.0,30.0,"lead-glaze","transfer printing, blue","animal scenery",NULL,"industrial ware"
"NZR2.00240CER027","CER","industrial ware: white",1800,1875,"Food Processing & Consumption","Food consumption: plate, dish, bowl",40.0,25.0,200.0,15.0,"lead-glaze","overall white",NULL,NULL,"industrial ware"
"NZR2.00210CER025","CER","industrial ware: stoneware",1725,1800,"Food Processing & Consumption","Food consumption: plate, dish, bowl",40.0,75.0,130.0,60.0,"iron oxide slip and salt-glaze","roulette",NULL,NULL,"industrial ware"
"NZR2.00240CER035","CER","industrial ware: white",1760,1800,"Food Processing & Consumption","Food consumption: plate, dish, bowl",20.0,35.0,250.0,27.0,"lead-glaze","overall white",NULL,"unknown","industrial ware"
"NZR2.00251CER102","CER","industrial ware: white",1825,1875,"Food Processing & Consumption","Consumption: drinking",20.0,65.0,100.0,55.0,"lead-glaze","transfer printing, red","landscape",NULL,"industrial ware"
"NZR2.00251CER103","CER","industrial ware: white",1825,1875,"Food Processing & Consumption","Food consumption: plate, dish, bowl",15.0,20.0,150.0,30.0,"lead-glaze","transfer printing, red","landscape",NULL,"industrial ware"
"NZR2.00251CER132","CER","industrial ware: white",1775,1825,"Food Processing & Consumption","Consumption: drinking",35.0,30.0,75.0,45.0,"lead-glaze","overall white",NULL,NULL,"industrial ware"
"NZR2.00251CER133","CER","industrial ware: white",1825,1875,"Food Processing & Consumption","Consumption: drinking",90.0,310.0,90.0,55.0,"lead-glaze","overall white",NULL,NULL,"industrial ware"
"NZR2.00251CER134","CER","industrial ware: white",1825,1900,"Food Processing & Consumption","Consumption: drinking",55.0,0.0,135.0,50.0,"lead-glaze","overall white",NULL,NULL,"industrial ware"
"NZR2.00221CER113","CER","faience: French",1600,1650,"Food Processing & Consumption","Food consumption: plate, dish, bowl",25.0,50.0,220.0,27.0,"tin-glaze","overall white",NULL,NULL,"faience"
"NZR2.00253CER047","CER","faience: Holland",1740,1790,"Food Processing & Consumption","Food consumption: plate, dish, bowl",70.0,80.0,225.0,30.0,"tin-glaze","blue-white","floral motif",NULL,"faience"
"NZR2.00253CER071","CER","faience: Holland",1675,1750,"Food Processing & Consumption","Food consumption: plate, dish, bowl",25.0,35.0,120.0,30.0,"tin-glaze","overall white",NULL,NULL,"faience"
"NZR2.00253CER117","CER","faience: Holland",1750,1825,"Food Processing & Consumption","Consumption: drinking",45.0,35.0,90.0,55.0,"tin-glaze","overall white",NULL,NULL,"faience"
"NZR2.00252CER197","CER","faience: Italian",1575,1625,"Food Processing & Consumption","Food consumption: plate, dish, bowl",5.0,0.0,240.0,20.0,"tin-glaze","blue background monochrome","floral motif",NULL,"faience"
"NZR2.00253CER042","CER","industrial ware: scratchware",1750,1775,"Food Processing & Consumption","Consumption: drinking",60.0,60.0,120.0,18.0,"salt-glaze, cobalt blue","sgraffito and stamped",NULL,NULL,"industrial ware"
"NZR2.00251CER138","CER","industrial ware: white",1825,1875,"Food Processing & Consumption","Consumption: drinking",20.0,20.0,125.0,30.0,"lead-glaze","overall white",NULL,NULL,"industrial ware"
"NZR2.00251CER142","CER","industrial ware: white",1825,1900,"Food Processing & Consumption","Consumption: drinking",30.0,55.0,130.0,30.0,"lead-glaze","overall white",NULL,NULL,"industrial ware"
"NZR2.00251CER144","CER","industrial ware: white",1800,1850,"Food Processing & Consumption","Food consumption: plate, dish, bowl",75.0,30.0,200.0,60.0,"lead-glaze","overall white",NULL,NULL,"industrial ware"
"NZR2.00257CER122","CER","industrial ware: black",1775,1825,"Food Processing & Consumption","Food consumption: plate, dish, bowl",20.0,10.0,100.0,70.0,NULL,NULL,"animal scenery",NULL,"industrial ware"
"NZR2.00251CER145","CER","industrial ware: white",1800,1850,"Food Processing & Consumption","Food consumption: plate, dish, bowl",20.0,35.0,160.0,45.0,"lead-glaze","overall white",NULL,NULL,"industrial ware"
"NZR2.00251CER149","CER","industrial ware: white",1760,1800,"Food Processing & Consumption","Consumption: drinking",50.0,60.0,115.0,30.0,"lead-glaze","overall white",NULL,NULL,"industrial ware"
"NZR2.00251CER150","CER","industrial ware: white",1775,1850,"Food Processing & Consumption","Food consumption: plate, dish, bowl",25.0,40.0,150.0,25.0,"lead-glaze","overall white",NULL,NULL,"industrial ware"
